Date,Open,High,Low,Close,Volume,Number of Trades
2022-06-06,147.03,148.5689,144.9,146.14,71598380.0,605199
2022-06-07,144.345,149.0,144.1,148.71,67808150.0,527360
2022-06-08,148.58,149.8697,147.46,147.96,53950201.0,430174
2022-06-09,147.08,147.95,142.53,142.64,69472976.0,558178
2022-06-10,140.28,140.76,137.06,137.13,91566637.0,826197
2022-06-13,132.87,135.2,131.44,131.88,122128099.0,1019929
2022-06-14,133.13,133.89,131.48,132.76,84784326.0,674981
2022-06-15,134.29,137.34,132.16,135.43,91532972.0,733275
2022-06-16,132.08,132.39,129.04,130.06,107961508.0,909222
2022-06-17,130.065,133.079,129.81,131.56,134520290.0,744035
2022-06-21,133.42,137.06,133.32,135.87,81000488.0,604547
2022-06-22,134.79,137.76,133.91,135.35,73409234.0,530526
2022-06-23,136.82,138.59,135.63,138.27,72433768.0,554898
2022-06-24,139.9,141.91,139.77,141.66,88401837.0,542278
2022-06-27,142.695,143.49,140.965,141.66,70207908.0,516175
2022-06-28,142.13,143.422,137.325,137.44,67315328.0,546240
2022-06-29,137.46,140.67,136.67,139.23,66242411.0,572553
2022-06-30,137.25,138.37,133.7737,136.72,98964467.0,710706
2022-07-01,136.04,139.04,135.66,138.93,71051552.0,558680
2022-07-05,137.77,141.61,136.93,141.56,73429641.0,601960
2022-07-06,141.355,144.12,141.08,142.92,74064254.0,585624
2022-07-07,143.29,146.55,143.28,146.35,66253709.0,539961
2022-07-08,145.265,147.55,145.0,147.04,64543598.0,520274
2022-07-11,145.67,146.64,143.78,144.87,63305113.0,496267
2022-07-12,145.76,148.45,145.05,145.86,77588759.0,579531
2022-07-13,142.99,146.45,142.1201,145.49,71185560.0,559357
2022-07-14,144.08,148.95,143.25,148.47,78140744.0,614951
2022-07-15,149.78,150.86,148.2,150.17,76259931.0,550061
2022-07-18,150.74,151.57,146.7,147.07,81380868.0,620449
2022-07-19,147.92,151.23,146.91,151.0,82969067.0,576469
2022-07-20,151.12,153.72,150.37,153.04,64823413.0,523491
2022-07-21,154.5,155.57,151.94,155.35,65064436.0,522802
2022-07-22,155.39,156.28,153.41,154.09,66675373.0,527310
2022-07-25,154.01,155.04,152.28,152.95,53580745.0,487391
2022-07-26,152.265,153.085,150.8,151.6,55099091.0,472001
2022-07-27,152.58,157.33,152.16,156.79,78620688.0,579181
2022-07-28,156.98,157.64,154.41,157.35,81378731.0,738631
2022-07-29,161.24,163.63,159.5,162.51,101763760.0,773742
2022-08-01,161.01,163.59,160.89,161.51,67778379.0,594290
2022-08-02,160.1,162.41,159.63,160.01,59907025.0,543549
2022-08-03,160.84,166.59,160.75,166.13,82507488.0,682781
2022-08-04,166.005,167.19,164.43,165.81,55474144.0,525012
