Volume,Volume Weighted,Open,Close,High,Low,Timestamp,Number of Trades
131577921.0,153.1029,154.925,152.06,155.83,151.49,2022-05-09 00:00:00-04:00,1103707
115366736.0,154.8376,155.52,154.51,156.74,152.93,2022-05-10 00:00:00-04:00,988257
142547625.0,149.4468,153.5,146.5,155.45,145.81,2022-05-11 00:00:00-04:00,1310796
182408091.0,142.066,142.77,142.56,146.2,138.8,2022-05-12 00:00:00-04:00,1678454
113990852.0,146.3255,144.59,147.11,148.105,143.11,2022-05-13 00:00:00-04:00,920506
86643781.0,145.7814,145.55,145.54,147.5199,144.18,2022-05-16 00:00:00-04:00,699719
78138254.0,148.443,148.86,149.24,149.77,146.68,2022-05-17 00:00:00-04:00,609263
109742890.0,142.6901,146.85,140.82,147.3601,139.9,2022-05-18 00:00:00-04:00,982288
135863540.0,138.66,139.88,137.35,141.66,136.6,2022-05-19 00:00:00-04:00,1219746
137392625.0,136.397,139.09,137.59,140.7,132.61,2022-05-20 00:00:00-04:00,1133362
117726265.0,141.4344,137.79,143.11,143.26,137.65,2022-05-23 00:00:00-04:00,851032
104132746.0,139.4136,140.805,140.36,141.97,137.33,2022-05-24 00:00:00-04:00,812515
92482696.0,140.0769,138.43,140.52,141.785,138.34,2022-05-25 00:00:00-04:00,688316
90601098.0,142.3902,137.39,143.78,144.34,137.14,2022-05-26 00:00:00-04:00,670652
91425110.0,148.1995,145.39,149.64,149.68,145.26,2022-05-27 00:00:00-04:00,686376
103718416.0,149.0998,149.07,148.84,150.66,146.84,2022-05-31 00:00:00-04:00,706652
74286635.0,149.3747,149.9,148.71,151.74,147.68,2022-06-01 00:00:00-04:00,629251
72348055.0,149.5215,147.83,151.21,151.27,146.86,2022-06-02 00:00:00-04:00,574552
88570289.0,145.8127,146.9,145.38,147.97,144.46,2022-06-03 00:00:00-04:00,761195
71598380.0,146.6167,147.03,146.14,148.5689,144.9,2022-06-06 00:00:00-04:00,605199
67808150.0,147.5529,144.345,148.71,149.0,144.1,2022-06-07 00:00:00-04:00,527360
53950201.0,148.6118,148.58,147.96,149.8697,147.46,2022-06-08 00:00:00-04:00,430174
69472976.0,145.3266,147.08,142.64,147.95,142.53,2022-06-09 00:00:00-04:00,558178
91566637.0,138.1785,140.28,137.13,140.76,137.06,2022-06-10 00:00:00-04:00,826197
122128099.0,133.128,132.87,131.88,135.2,131.44,2022-06-13 00:00:00-04:00,1019929
84784326.0,132.5738,133.13,132.76,133.89,131.48,2022-06-14 00:00:00-04:00,674981
91532972.0,134.625,134.29,135.43,137.34,132.16,2022-06-15 00:00:00-04:00,733275
107961508.0,130.4622,132.08,130.06,132.39,129.04,2022-06-16 00:00:00-04:00,909222
134520290.0,131.491,130.065,131.56,133.079,129.81,2022-06-17 00:00:00-04:00,744035
81000488.0,135.8508,133.42,135.87,137.06,133.32,2022-06-21 00:00:00-04:00,604547
73409234.0,135.8581,134.79,135.35,137.76,133.91,2022-06-22 00:00:00-04:00,530526
72433768.0,137.2859,136.82,138.27,138.59,135.63,2022-06-23 00:00:00-04:00,554898
88401837.0,140.8332,139.9,141.66,141.91,139.77,2022-06-24 00:00:00-04:00,542278
70207908.0,142.0413,142.695,141.66,143.49,140.965,2022-06-27 00:00:00-04:00,516175
67315328.0,139.3752,142.13,137.44,143.422,137.325,2022-06-28 00:00:00-04:00,546240
66242411.0,139.2737,137.46,139.23,140.67,136.67,2022-06-29 00:00:00-04:00,572553
98964467.0,136.476,137.25,136.72,138.37,133.7737,2022-06-30 00:00:00-04:00,710706
71051552.0,137.4774,136.04,138.93,139.04,135.66,2022-07-01 00:00:00-04:00,558680
73429641.0,139.7669,137.77,141.56,141.61,136.93,2022-07-05 00:00:00-04:00,601960
74064254.0,142.5582,141.355,142.92,144.12,141.08,2022-07-06 00:00:00-04:00,585624
66253709.0,145.6754,143.29,146.35,146.55,143.28,2022-07-07 00:00:00-04:00,539961
64543598.0,146.6409,145.265,147.04,147.55,145.0,2022-07-08 00:00:00-04:00,520274
63305113.0,145.1524,145.67,144.87,146.64,143.78,2022-07-11 00:00:00-04:00,496267
77588759.0,146.7948,145.76,145.86,148.45,145.05,2022-07-12 00:00:00-04:00,579531
71185560.0,145.1932,142.99,145.49,146.45,142.1201,2022-07-13 00:00:00-04:00,559357
78140744.0,146.591,144.08,148.47,148.95,143.25,2022-07-14 00:00:00-04:00,614951
76259931.0,149.5097,149.78,150.17,150.86,148.2,2022-07-15 00:00:00-04:00,550061
81380868.0,149.0297,150.74,147.07,151.57,146.7,2022-07-18 00:00:00-04:00,620449
82969067.0,149.7493,147.92,151.0,151.23,146.91,2022-07-19 00:00:00-04:00,576469
64823413.0,152.6255,151.12,153.04,153.72,150.37,2022-07-20 00:00:00-04:00,523491
65064436.0,154.3545,154.5,155.35,155.57,151.94,2022-07-21 00:00:00-04:00,522802
66675373.0,154.6233,155.39,154.09,156.28,153.41,2022-07-22 00:00:00-04:00,527310
